X;Y;id;title;Organization;Address;overview;WebPage;TitleEN;NUMBER1;AddressEN;DescriptionEN;WebPageEN;Column1;Score
499117.4071;6127949.956;11;æv. Jurgio baÿny—ia;[];æ”tos g. 10 LT-57210 K”dainiai;Legenda sako kad ’i– gotikos stiliaus baÿny—i– pastat” kryÿiuo—iai pagoni÷ ’ventov”s vietoje. Pastatyta apie 1460 metus. XVI a. vid. j– uÿgrob” protestantai. Nuo XVII a. pr. - v”l gr–ÿinta katalikams. Baÿny—ioje i’lik“ baÿnytinio m;;St George's Church;1;æ”tos 10 K”dainiai;According to legend this church was built by Crusaders on the site of a pagan shrine. Constructed around 1460s in Gothic style it is the oldest brick building in K”dainiai. It has preserved many valuable items of religious art.;;;5
498806.3887;6127827.123;12;K”daini÷ turizmo ir verslo informacijos centras;[];Didÿiosios Rinkos a. 6-3 K”dainiai;Teikiama turizmo ir verslo informacija platinami kartografiniai ir informaciniai turizmo leidiniai organizuojamos ekskursijos po K”daini÷ senamiest‘ rajon– ir Lietuvos vietoves teikiamos gido ir kelion”s vadovo paslaugos;http://www.kedainiutvic.lt;K”dainiai Tourism and Business Information Centre;6;Didÿiosios Rinkos a. 6-3 K”dainiai;Information on business and tourism in K”dainiai Distric. Tourist material: maps brochures. Guided tours in K”dainiai and environs and the rest of Lithuania.;http://www.kedainiutvic.lt;;2
498748.8418;6127787.436;13;Evangelik÷ reformat÷ baÿny—ia;[];Senoji g. 1 LT-57247 K”dainiai;Pastatyta XVII a. vid. j– fundavo kunigaik’—iai Radvilos. Baÿny—ios kriptoje palaidoti ’ios ’eimos atstovai puo’niuose sarkofaguose. I’likusi autenti’ka XVII a. sakykla. æiuo metu tai veikianti evangelik÷ reformat÷ baÿny—ia.;;Evangelical Reformed Church;1;Senoji g. 1 K”dainiai;Constructed in the Renaissance style by the noble Radziwill family in the middle of the XVIIth century. Radziwill family members were buried in the family vault in this church. A mannerist oak pulpit has survived.;http://www.kedainiumuziejus.lt;;1
498758.7637;6127790.743;14;Kunigaik’—i÷ Radvil÷ mauzoliejus;[];Senoji g. 1 LT-57247 K”dainiai;XVII a. LDK didik÷ Radvil÷ kapaviet” ‘rengta Evangelik÷ reformat÷ baÿny—ioje. Puo’niuose sarkofaguose palaidoti: Kristupas Perk◊nas 1547-1603 Jonu’as 1612-1655 Mikalojus 1610-1611 Jurgis 1616-1617 Steponas 1624-1624 ir Elÿbieta;http://www.kedainiumuziejus.lt;;8;;;;;1
498841.1815;6127834.333;15;Stikli÷ namai;[];Didÿioji g. 6 LT-57248 K”dainiai;XVII a. priklaus” K”daini÷ vaitui Juozui Budrevi—iui ir buvo puo’niausias visuose K”dainiuose. Pagal istorinius ’altinius ’iame name gyven“s ir amatininkas-stiklius veik” stiklo manufakt◊ra. æiuo metu —ia veikia meno dirbini÷ galerija-par;;Glaziers' House;1;Didÿioji g. 6 K”dainiai;In the 17th century this house belonged to a manufacturer of glass. Today it houses a cosy shop-gallery of souvenirs and small art items.;;;5
498810.4708;6127725.208;16;Burmistro Andersono namas;[];Radvil÷ g. 5 LT-57254 K”dainiai;"Manoma kad nam– XVII a. pastat” ir jame gyveno ’kotas Jurgis Andersenas ? burmistras vienas turtingiausi÷ ir ‘takingiausi÷ K”daini÷ miestie—i÷. Dabar ’iame pastate - Elektronikos prek”s"".";;House of George Anderson;1;Radvil÷ g. 5 K”dainiai;In the 17th century this house belonged to the town mayor of Scottish descent George Anderson. It is one of few surviving Scottish houses.;;;3
498722.4966;6127803.921;17;Rektori÷ namai;[];Senoji g. 2 4 LT-57255 K”dainiai;Namai pastatyti XVII a. viduryje pabaigus Evangelik÷ reformat÷ baÿny—ios statyb–. Didesniame gyveno reformat÷ kunigai maÿesnysis buvo naudojamas parapijos reikm”ms.;;Rectors' Houses;1;Senoji g. 2 4 K”dainiai;These houses were built in the middle of the 17th c. There lived Calvinist priests who sometimes served as rectors headmasters of the Protestant gymnasium. Hence the name of the houses.;;;2
498770.7832;6127863.453;18;Jurgio Beneto namas;[];Didÿioji g. 20 Senoji g. 7 LT-57247 K”dainiai;Renesansinio stiliaus dviej÷ korpus÷ L raid”s plano dviej÷ auk’t÷ su sta—iais dvi’lai—iais stogais namas. Kieme stov”jo korpusas kuriuose buvo ‘rengta viren” virtuv” tualetas ir kitos ◊kin”s patalpos. Dabar —ia - kavin” Auksiniai;;House of George Benet;1;Senoji g. 7 K”dainiai;"It was a residential house of a Scot George Benet in the 17th c. Now there is a cafe ""Auksiniai mal◊n”liai"" ""Golden Mills"".";;;1
326462.5637;6213978.984;19;Japoni’kas sodas;[];Maÿu—i÷ k. Darb”n÷ sen. Kretingos r.;æi vieta vadinama Muzikanto kalnu. Tai auk’—iausia vieta apylink”se.  ∂ia nerasite egzotikos bet galite pasijausti kitaip. Norint tai pajusti turite ateiti tik su gerais ketinimais jausmais norais.;http://www.japangarden.lt/;;9;;;;;4
329125.6003;6203920.828;20;Kurmai—i÷ piliakalnis;[];Kurmai—i÷ k. Kretingos r.;Piliakaln‘ 1962 m. atrado ir apmatavo Kretingos rajono praeities tyrin”tojas Ignas Jablonskis. ælaitai besileidÿiantys ‘ Akmen– ir Pilsup‘ stat◊s 10?12 m auk’—io.;http://www.kretingosenciklopedija.lt/lt/straipsniai/kultura/kulturos_paveldas/archeologinis_paveldas/piliakalniai/kurmaiciu_piliakalnis/;;0;;;;;2
323169.1561;6203863.281;21;R◊dai—i÷ piliakalnis;[];R◊dai—i÷ k. Kretingos r.;Piliakalnis Pilal” ‘rengtas atskiroje kalvoje œibos kairiajame krante. Aik’tel” apvali 30 m skersmens. Jos P-V kra’tuose supiltas 05 m auk’—io 10 m plo—io puslankio formos pylimas. ælaitai stat◊s 4-10 m auk’—io.;http://lt.wikipedia.org/wiki/R%C5%ABdai%C4%8Di%C5%B3_piliakalnis;;10;;;;;1
522802.1165;6177088.863;22;Panev”ÿio apskrities turizmo informacijos centra;[];Laisv”s a.11 LT-35200 Panev”ÿys;Tel. 8 45 508080 8 616 39793;http://www.panevezysinfo.lt/;;6;;;;;3
522612.7406;6177103.746;23;Panev”ÿio miesto dail”s galerija;[];Respublikos g.3 Panev”ÿys;∂ia eksponuojami Panev”ÿio Auk’taitijos Lietuvos ir uÿsienio meninink÷ k◊riniai. Siekiama pristatyti ne tik galerijos parengtas kolekcijas bet ir inicijuoti naujus projektus bei dalyvauti bendruose Lietuvos ir uÿsienio ’ali÷ meniniuose proje;http://www.arspanevezys.lt/;;12;;;;;3
522810.517;6177148.063;24;Parod÷ sal” Galerija XX;[];Laisv”s a. 7;Galerija XX pristato ’iuolaikini÷ lietuvi÷ ir uÿsienio autori÷ k◊ryb– rengia bendras parodas su kitomis miesto galerijomis organizuoja plenerus uÿsiima edukacine veikla.;http://www.galerijaxx.lt;;12;;;;;2
522642.5063;6177150.709;25;Galerija 2-asis auk’tas;[];Respublikos g. 14;"Netradicin” sal”s forma jauki erdv” puiki akustika ir geras ap’vietimas traukia profesionalius menininkus ir meno gerb”jus. Kasmet galerijoje organizuojama apie 15 dail”s parod÷.


Parod÷ lankymas nemokamas";http://www.pavb.lt/lt/struktura-ir-kontaktai/skyriai/galerija-q2-asis-aukstasq;;12;;;;;3
319871.8944;6178579.767;26;Klaip”dos turizmo ir kult◊ros informacijos centr;[];Turgaus g.7 Klaip”da;Klaip”dos turizmo ir kult◊ros informacijos centras;http://www.klaipedainfo.lt;;6;;;;;1
350407.1679;6218744.081;27;Laivi÷ piliakalnis;[];Laivi÷ k. Salanto ir Bubino upeli÷ santaka;Senov”je pro piliakaln‘ tekanatis Salantas buv“s didel” ir vandeninga up” kuria plaukiojo karo ir prekybos laivai.Kiti padavimai pasakoja apie piliakalnyje nugrimzdus‘ dvar– ir uÿkastus lobius.Dabar Piliakalnis apaug“s lapuo—i÷ medÿi÷ mi’k;http://lt.wikipedia.org/wiki/Laivi%C5%B3_piliakalnis;;10;;;;;3
338528.6754;6218493.388;28;Gr◊’lauk”s koply—ia kapin”s;[];Gr◊’lauk”s k. Darb”n÷ sen. Kretingos r.;Tai  XVIII a. koply—ia kurios interjer– puo’ia 1749 m. sienin” tapyba.Gr◊’lauk”s kapin”se ilsisi ÿymus ÿemai—i÷ dievdirbys Juozapas Paulauskas 1860?1945 lietuvi÷ ir pranc◊z÷ skulptorius Antanas Mon—ys 1921?1993.;http://www.kretingosenciklopedija.lt/lt/straipsniai/geografija/rajono_administracinisteritorinis_suskirstymas_ir_valdymas/seniunijos/darbenu_seniunijos_kaimai/darbenu_seniunija/;;1;;;;;4
328964.5802;6224776.189;29;Senosios Ωpilties II piliakalnis;[];Senosios Ωpilties k. Kretingos r.;Antrasis piliakalnis Marijos Kalnelis ‘rengtas Juodupio ir bevardÿio upelio santakoje esan—iame kranto ky’ulyje. Piliakaln‘ labai suard” arimai. Dirvonuoja pietry—i÷  ’laitas apaug“s alksniais.;http://www.piliakalniai.lt/piliakalnis.php?piliakalnis_id=244;;10;;;;;3
328793.9236;6224458.688;30;Senosios Ωpilties I piliakalnis;[];Senosios Ωpilties k. Juodupio upelio de’.krantas;Piliakalnis siejamas su istorini÷ ’altini÷ minima Impilties  pilimi kuri– 1261 m. puol” Livonijos kariuomen” o prie’ pasitraukdami sudegino gyn”jai.Tarpukariu piliakaln‘ dvejus metus tyrin”jo karo muziejaus archeologin” ekspedicija.;http://www.kretingosenciklopedija.lt/lt/straipsniai/kultura/kulturos_paveldas/archeologinis_paveldas/piliakalniai/senosios_ipilties_impilties_piliakalniai/;;10;;;;;3
328257.4798;6225917.207;31;Senosios Ωpilties III piliakalnis;[];Senosios Ωpilties k. Kretingos r.;Prie’ais pap”d”s gyvenviet“ ‘ ’iaur”s vakarus nuo piliakalnio æventosios ’laite i’liko kapinynas ir kaimo kapin”s vadinami Kari÷ kapeliais Maro kapeliais.;;;10;;;;;1
498361.3587;6128141.449;32;Kristaus Atsimainymo sta—iatiki÷ cerkv”;[];Gedimino g. 2 K”dainiai;Sta—iatiki÷ bendruomen” susik◊r” K”dainiuose XVII a. II p. Dabartin” cerkv” i’kilo XIX a. II p. Cerkv”je ir ’ventoriuje - paminklai Piotrui Stolypinui i’lik“ sakralinio meno vertybi÷.;;;1;;;;;3
498361.3587;6128142.11;33;Kristaus Atsimainymo sta—iatiki÷ cerkv”;[];Gedimino g. 2 K”dainiai;Sta—iatiki÷ bendruomen” K”dainiuose ‘sik◊r” XVII a. vid. æi cerkv” pastatyta XIX a. II p. I’lik“ sakralinio meno vertybi÷. Cerkv”je ir ’ventoriuje - memorialiniai paminklai Piotrui Stolypinui.;;Christ Conversion Orthodox Church;1;Gedimino g. 2 K”dainiai;The Orthodox community was established in K”dainiai in the 17th century. The present Orthodox church was built in the IInd half of the 19th century. It is abundantly decorated with paintings. Memorial plaques for Piotr Stolypin were set up there as well;;;2
338896.0748;6136888.441;34;æilut”s turizmo informacijos centras;[];Lietuvinink÷ g. 4 LT-99179 æilut”;"æilut”s turizmo informacijos centras
Lietuvinink÷ g. 4 LT-99179 æilut”
Tel.: 8-441 77785
El. pa’tas: info@siluteinfo.lt";http://www.siluteinfo.lt;;6;;;;;2
345157.3804;6209062.108;35;Vyskupo Motiejaus Valan—iaus gimtin”s muziejus;[];Nasr”n÷ k. K◊lup”n÷ sen. Kretingos r.;œemai—i÷ vyskupo Motiejaus Valan—iaus memorialin” ekspozicija pasakoja apie vyskupo gyvenim– veikl– lietuvi÷ tautos gerovei nuveiktus darbus. Muziejuje eksponuojamos jo knygel”s  asmeniniai daiktai vyskupo skrynia.;http://nasrenai.lt/;;8;;;;;3
346657.5709;6211785.999;36;Kalnalio æv. Lauryno baÿny—ia;[];Kalnalio k. Kretingos r.;Kunigaik’—io Oginskio r◊pes—iu 1777 m. pastatyta baÿny—ia. Joje buvo  pakrik’tytas  vyskupas Motiejus Valan—ius. Baÿny—ia 1882 m. vasar– sudeg” uÿdeg” ÿaibas. Kunigo Simono Jucevi—iaus ir parapijie—i÷ r◊pes—iu 1883 m. atstatyta.;http://www.kretingosenciklopedija.lt/lt/straipsniai/religija/baznycios/kalnalio_sv_lauryno_baznycia/;;1;;;;;1
346668.8157;6211914.322;37;Apÿvalgos bok’tas;[];Kalnalio k. Kretingos r.;Kalnalio apÿvalgos bok’tas yra 15 m auk’—io pastatytas 2006 m. Salant÷ regioninio parko direkcijos iniciatyva. Nuo jo atsiveria nuostabi Salanto up”s sl”nio panorama su tolumoje besistiebian—iais Salant÷ baÿny—ios bok’tais.;;;11;;;;;4
347801.0169;6212895.455;38;Imbar”s piliakalnis;[];Imbar”s sen. Kretingos r.;Anot padavim÷ piliakalnyje pasl”pti dideli turtai.  Poÿemi÷ dur÷ raktas guli Salanto up”s sietuvoje. Dvylikt– valand– nakties reikia nerti ‘ t– sietuv– ir rasti akmen‘ o po juo ? rakt–. Kam pavyks tas taps vis÷ uÿburt÷ turt÷ savinin;http://www.salanturp.lt/indexlt14575.html;;10;;;;;3
498323.1537;6128083.519;39;Vytauto Ulevi—iaus medÿio skulpt◊r÷ muziejus;[];J. Basanavi—iaus g. 36 2 auk’tas LT-57177 K”dainiai;Muziejus ‘kurtas 2004 m. jame eksponuojama apie 50 talentingo menininko gyvenan—io K”daini÷ rajone darb÷. Juose atsispindi tradicin” lietuvi÷ liaudies ornamentika vaizduojami Lietuvos istorijos ‘vykiai ir asmenyb”s religijos mitologijos pe;http://www.kedainiumuziejus.lt;Museum of Wooden Sculptures by Vytautas Ulevi—ius;8;J. Basanavi—iaus g. 36 first floor municipality building;On the museum display - over 50 oak sculptures by Vytautas Ulevi—ius a talented wood carver residing in Krak”s K”dainiai District. The sculptures reflect ancient Lithuanian folk art ornaments they represent Lithuanian history mythology religion.;http://www.kedainiumuziejus.lt;;5
347482.5434;6216080.856;40;Gaidÿio koply—ia;[];Salantai Kretingos r.;Kalva tok‘ vard– gavusi es– tod”l kad seniau praeivius vakarais baidydav“s i’ jos sklindantis ’aiÿus gaidÿio giedojimas. Jis nurim“s tik pasta—ius ant kalvos koply—i–.;http://www.salanturp.lt/indexlt16044.html;;0;;;;;2
338650.384;6218305.534;41;æv. Jono Nemopuko baÿny—ia;[];Gr◊’lauk”s k. Darb”n÷ sen. Kretingos r.;Baÿny—ioje ? trys altoriai du ’oniniai perkelti i’ ankstesn”s baÿny—ios. R◊syje ‘rengta kripta parapijos kunigams laidoti. Baÿny—ios ’ventoriuje pastatytas kryÿius-paminklas ÿuvusiems œemai—i÷ apygardos Kardo rinktin”s partizanams  a;http://www.kretingosenciklopedija.lt/lt/straipsniai/religija/baznycios/gruslaukes_sv_jono_nepomuko_baznycia/;;1;;;;;2
498813.9568;6128038.54;42;Daugiakult◊ris centras maÿoji ÿiemos sinagoga;[];Senosios Rinkos 12 LT-57247 K”dainiai;Daugiakult◊ris centras ‘sik◊r“s maÿojoje ÿiemos sinagogoje statytoje XIX a. Sinagoga i’saugojusi autenti’k– vidaus i’planavim–. II a. buv. moter÷ galerijoje  ‘rengta ekspozicija apie ÿyd÷ istorij– ir holokaust–. Vyksta kult◊ros isto;http://kedainiumuziejus.lt;Multicultural Centre small winter synagogue;8;Senosios Rinkos a. 12 K”dainiai;The Centre was established in the former small winter synagogue constructed in the 19th c. It has preserved in original interior layout. Nowadays the Centre organizes art exhibitions cultural events provides guided tours and educational programmes.;http://www.kedainiumuziejus.lt;;3
502580.3081;6147927.639;43;Bakaini÷ piliakalnis;[];K”daini÷ r. Survili’kio sen. Krekenavos regioninio parko teritorijoje;Datuojamas II t◊kst. pr. I’ trij÷ pusi÷ piliakaln‘ supa Liaud”s up”. Tai vienas didÿiausi÷ K”daini÷ rajono piliakalni÷. æalia - lauÿaviet” atokv”pio vieta su stalu ir suolais.;;Bakainiai Hill Fort;10;Bakainiai K”dainiai District;One of the largest hill forts in the district beginning of the second millennium. Near the hill - picnicking area.;;;4
502318.3701;6145892.989;44;Survili’kio Nukryÿiuotojo J”zaus baÿny—ia;[];Survili’kis K”daini÷ r.;æalia K”daini÷-Krekenavos kelio. Pastatyta 1791 m. turi i’saugojusi sakralin”s dail”s paminkl÷. Atidaryta pamald÷ metu.;;Survili’kis Church of Jesus Crucified;1;Survili’kis K”dainiai District;Constructed in 1791 with preserved religious art items inside. Open during Holy Mass.;;;1
518111.2211;6141892.203;45;æukioni÷ piliakalnis;[];æukioni÷ k. æ”tos sen. K”daini÷ r.;Datuojamas XIV a. II p. Piliakalnyje buvo 1372 m. rugpj◊t‘ Livonijos ordino kariuomen”s nusiaubto æukioni÷ k. sl”ptuv”. Aptikta i’ 13 cm storio r–st÷ sud”tos suangl”jusios gynybin”s sienos liekan÷ geleÿini÷ dirbini÷ ÿalvarini÷ papuo;http://kedainiutvic.lt;æukioniai Hill Fort;10;æukioniai village K”dainiai District;IInd half of the XIVth century.;;;3
516421.8531;6129632.71;46;Sangail÷ piliakalnis;[];Sangail÷ k. æ”tos sen. K”daini÷ r.;Ωrengtas atskiroje kalvoje aik’tel” apjuosta pylimu. Datuojamas I t◊kst. - II t◊kst. pr.;http://kedainiutvic.lt/cms;Sangailai Hill Fort;10;Sangailai village K”dainiai District;End of Ist - beginning of IInd millennium.;;;4
339518.5867;6201332.14;47;œadeiki÷ dvaras palivarkas;[];œadeiki÷ k. Kartenos sen. Kretingos r.;œadeiki÷ dvar– ‘k◊r” grafas Mikalojus Zubovas.Nuo 1875 m. j‘ vald” Juozapas Ti’kevi—ius o po jo ? s◊nus Aleksandras Ti’kevi—ius kuris  pastat” gyvenamuosius ir ◊kinius pastatus.1939 m.dvaro sodyb– nupirko Kretingos apskrities agronoma;http://www.kretingosenciklopedija.lt/lt/straipsniai/geografija/rajono_administracinisteritorinis_suskirstymas_ir_valdymas/seniunijos/kartenos_seniunijos_kaimai/zadeikiai/;;1;;;;;5
345708.82;6204728.413;48;Sauseri÷ piliakalnis;[];Kelias K◊lup”nai-Sauseriai;Nuo prie’pilio pylimo aptiktas  apsauginis griovys. Jame rasta lipdytos keramikos ’uki÷ angli÷ molio tinko titnago nuoskala.Piliakalnis ‘rengtas I t◊kst. apleistas II t◊kst. pradÿioje grei—iausiai prasid”jus kovoms su kryÿiuo—iais.;http://lt.wikipedia.org/wiki/Sauseri%C5%B3_piliakalnis;;10;;;;;2
329812.1954;6205951.509;49;T◊bausi÷ æv. apa’talo Andriejaus baÿny—ia;[];T◊bausi÷ k. Kretingos r.;Kretingos kunigo pranci’kono Leopoldas Scheifele pastangomis baÿny—ia buvo i’ pagrind÷ atnaujinta suburta gyva tikin—i÷j÷ bendruomen”. Klebonas atgaivino senas tradicijas - etnos– mi’i÷ metu grojama kankl”mis.;http://tubausiu-parapija.lt/istorija.html;;1;;;;;4
498715.2396;6128048.514;50;œyd÷ sodybinio tipo namas;[];œyd÷ g. 2 K”dainiai;"XVII a. - XIX a. pab. Atspindi ÿyd÷ statybos tradicij– ir etnografij–. Nam– sudaro gyvenama dalis religin”ms apeigoms palapini÷ ’ventei sukot"" skirtas prieangis ir kalv” bei tvartas.";;Complex of Jewish houses;1;œyd÷ g. 2 K”dainiai;17th-19th c. complex consisting of a residential house an attached ritual premise for the Succoth festival a smithy and a cattle shed.;;;1
325676.0882;6205408.451;51;Nagarbos piliakalnis;[];Senk÷ k. Tenÿ”s de’iniajame krante;D”l savo formos kitaip dar vadinamas Bli◊dkalniu.Piliakalnio aik’tel” apvali 50 m skersmens apjuosta 240 m ilgio pylimu. Senov”je ant pylimo stov”jo mediniai ‘tvirtinimai ? gynybin”s sienos ir bok’tai.;http://www.kretingosenciklopedija.lt/lt/straipsniai/kultura/kulturos_paveldas/archeologinis_paveldas/piliakalniai/nagarbos_negarbos_piliakalnis/;;0;;;;;1
503199.3309;6029217.906;52;Ado galerija;[];Vilniaus g. 14 Alytus;"Studija - galerija ˜Ado galeraÚ ir dail”s salonas meno dirbini÷ parduotuv”. 
Prie’ apsilankant galerijoje rekomenduojama pasiskambinti.";http://www.adogalera.com/;'Adas' Gallery;12;Vilniaus street 14 Alytus;"Adas' Gallery - art showroom artwork store
Before you visit the gallery advisable to call.";http://www.alytus-tourism.lt/en/places-to-visit/museums-and-galeries;;3
493226.4474;6117413.235;53;Dievo Apvaizdos baÿny—ia;[];Lab◊nava Pel”dnagi÷ sen. K”daini÷ r.;1859 m. kaip mauzoliejin“ koply—i– artimiesiems laidoti j– pastat” grafien” Matilda Kobylinska-Zabielien”. Senoji baÿny—ia sudeg” tod”l koply—ia tapo baÿny—ia. Tai apskrito plano statinys - rotonda. Rai’kaus silueto interjeras kuklus.;;Church of Providence;1;Lab◊nava K”dainiai District;It was built as a family burial chapel by countess Matilda Kobylinska-Zabielien” in 1859. When the church burnt down the chapel was transformed into a church. It is of circular plan and modest interior.;;;1
343829.5104;6202576.295;54;Martynai—i÷ piliakalnis;[];Martynai—i÷ k. Kartenos sen. Kretingos r.;Galingi piliakalnio ‘tvirtinimai gyvenviet”s uÿimama teritorija ir radiniai liudija kad I t◊kstm. pab. ? II t◊kstm. pirmaisiais amÿiais —ia b◊ta svarbios kur’i÷ gyvenviet”s ir pilies grei—iausiai sudegintos kov÷ su kryÿiuo—iais metu.;http://www.kretingosenciklopedija.lt/lt/straipsniai/kultura/kulturos_paveldas/archeologinis_paveldas/piliakalniai/martynaiciu_piliakalnis/;;10;;;;;4
492913.577;6116005.648;55;Buv. Lab◊navos dvaro sodybos bok’tas;[];Lab◊navos k. Pel”dnagi÷ sen. K”daini÷ r.;XVI a. dvaras atiteko Zabieloms kurie —ia 1890 m. pastat” puo’nius neorenesanso stiliaus r◊mus. 1914 m. r◊mai sunaikinti. Juo supo m◊rin” tvora su trimis gotikinio stiliaus bok’tais. I’ vis÷ dvaro sodybos pastat÷ teliko vienas i’ ’i÷ bok’;;Lab◊nava manor tower;1;Lab◊nava village K”dainiai District;From the 16th c. it belonged to the Zabiela family which constructed a manor in the renaissance style in 1890.  The manor was destroyed in 1914. It had been surrounded by a brick fence with three Gothic towers of which only one has survived.;;;4
508331.5401;6119737.604;56;Juci◊n÷ kapini÷ medin” koply—ia;[];Juci◊n÷ k. Pel”dnagi÷ sen. K”daini÷ r.;Pastat” dvarininkas Adomas Veli—ka 1817 m. Kolon÷ portikas laiko priekin i’siki’usi– choro sien– ir fronton–. Chore yra i’likusi fisharmonija. Interjeras kuklus;;;1;;;;;5
