X,Y,id,title,Organization,InsertDate,UpdateDate,Address,overview,WebPage,TitleEN,NUMBER1,AddressEN,DescriptionEN,WebPageEN,,Score
499117.4071,6127949.956,11,Šv. Jurgio bažnyčia,[],7/4/2013,6/20/2014,Šėtos g. 10 LT-57210 Kėdainiai,Legenda sako kad šią gotikos stiliaus bažnyčią pastatė kryžiuočiai pagonių šventovės vietoje. Pastatyta apie 1460 metus. XVI a. vid. ją užgrobė protestantai. Nuo XVII a. pr. - vėl grąžinta katalikams. Bažnyčioje išlikę bažnytinio m,,St George's Church,1,Šėtos 10 Kėdainiai,According to legend this church was built by Crusaders on the site of a pagan shrine. Constructed around 1460s in Gothic style it is the oldest brick building in Kėdainiai. It has preserved many valuable items of religious art.,,,5
498806.3887,6127827.123,12,Kėdainių turizmo ir verslo informacijos centras,[],7/4/2013,6/4/2014,Didžiosios Rinkos a. 6-3 Kėdainiai,Teikiama turizmo ir verslo informacija platinami kartografiniai ir informaciniai turizmo leidiniai organizuojamos ekskursijos po Kėdainių senamiestį rajoną ir Lietuvos vietoves teikiamos gido ir kelionės vadovo paslaugos,http://www.kedainiutvic.lt,Kėdainiai Tourism and Business Information Centre,6,Didžiosios Rinkos a. 6-3 Kėdainiai,Information on business and tourism in Kėdainiai Distric. Tourist material: maps brochures. Guided tours in Kėdainiai and environs and the rest of Lithuania.,http://www.kedainiutvic.lt,,2
498748.8418,6127787.436,13,Evangelikų reformatų bažnyčia,[],7/4/2013,6/20/2014,Senoji g. 1 LT-57247 Kėdainiai,Pastatyta XVII a. vid. ją fundavo kunigaikščiai Radvilos. Bažnyčios kriptoje palaidoti šios šeimos atstovai puošniuose sarkofaguose. Išlikusi autentiška XVII a. sakykla. Šiuo metu tai veikianti evangelikų reformatų bažnyčia.,,Evangelical Reformed Church,1,Senoji g. 1 Kėdainiai,Constructed in the Renaissance style by the noble Radziwill family in the middle of the XVIIth century. Radziwill family members were buried in the family vault in this church. A mannerist oak pulpit has survived.,http://www.kedainiumuziejus.lt,,1
498758.7637,6127790.743,14,Kunigaikščių Radvilų mauzoliejus,[],7/4/2013,11/4/2013,Senoji g. 1 LT-57247 Kėdainiai,XVII a. LDK didikų Radvilų kapavietė įrengta Evangelikų reformatų bažnyčioje. Puošniuose sarkofaguose palaidoti: Kristupas Perkūnas 1547-1603 Jonušas 1612-1655 Mikalojus 1610-1611 Jurgis 1616-1617 Steponas 1624-1624 ir Elžbieta,http://www.kedainiumuziejus.lt,,8,,,,,1
498841.1815,6127834.333,15,Stiklių namai,[],7/4/2013,6/5/2014,Didžioji g. 6 LT-57248 Kėdainiai,XVII a. priklausė Kėdainių vaitui Juozui Budrevičiui ir buvo puošniausias visuose Kėdainiuose. Pagal istorinius šaltinius šiame name gyvenęs ir amatininkas-stiklius veikė stiklo manufaktūra. Šiuo metu čia veikia meno dirbinių galerija-par,,Glaziers' House,1,Didžioji g. 6 Kėdainiai,In the 17th century this house belonged to a manufacturer of glass. Today it houses a cosy shop-gallery of souvenirs and small art items.,,,5
498810.4708,6127725.208,16,Burmistro Andersono namas,[],7/4/2013,6/9/2014,Radvilų g. 5 LT-57254 Kėdainiai,"Manoma kad namą XVII a. pastatė ir jame gyveno škotas Jurgis Andersenas – burmistras vienas turtingiausių ir įtakingiausių Kėdainių miestiečių. Dabar šiame pastate - Elektronikos prekės"".",,House of George Anderson,1,Radvilų g. 5 Kėdainiai,In the 17th century this house belonged to the town mayor of Scottish descent George Anderson. It is one of few surviving Scottish houses.,,,3
498722.4966,6127803.921,17,Rektorių namai,[],7/4/2013,6/6/2014,Senoji g. 2 4 LT-57255 Kėdainiai,Namai pastatyti XVII a. viduryje pabaigus Evangelikų reformatų bažnyčios statybą. Didesniame gyveno reformatų kunigai mažesnysis buvo naudojamas parapijos reikmėms.,,Rectors' Houses,1,Senoji g. 2 4 Kėdainiai,These houses were built in the middle of the 17th c. There lived Calvinist priests who sometimes served as rectors headmasters of the Protestant gymnasium. Hence the name of the houses.,,,2
498770.7832,6127863.453,18,Jurgio Beneto namas,[],7/4/2013,6/9/2014,Didžioji g. 20 Senoji g. 7 LT-57247 Kėdainiai,Renesansinio stiliaus dviejų korpusų L raidės plano dviejų aukštų su stačiais dvišlaičiais stogais namas. Kieme stovėjo korpusas kuriuose buvo įrengta virenė virtuvė tualetas ir kitos ūkinės patalpos. Dabar čia - kavinė Auksiniai,,House of George Benet,1,Senoji g. 7 Kėdainiai,"It was a residential house of a Scot George Benet in the 17th c. Now there is a cafe ""Auksiniai malūnėliai"" ""Golden Mills"".",,,1
326462.5637,6213978.984,19,Japoniškas sodas,[],7/5/2013,7/19/2013,Mažučių k. Darbėnų sen. Kretingos r.,Ši vieta vadinama Muzikanto kalnu. Tai aukščiausia vieta apylinkėse.  Čia nerasite egzotikos bet galite pasijausti kitaip. Norint tai pajusti turite ateiti tik su gerais ketinimais jausmais norais.,http://www.japangarden.lt/,,9,,,,,4
329125.6003,6203920.828,20,Kurmaičių piliakalnis,[],7/8/2013,7/19/2013,Kurmaičių k. Kretingos r.,Piliakalnį 1962 m. atrado ir apmatavo Kretingos rajono praeities tyrinėtojas Ignas Jablonskis. Šlaitai besileidžiantys į Akmeną ir Pilsupį statūs 10–12 m aukščio.,http://www.kretingosenciklopedija.lt/lt/straipsniai/kultura/kulturos_paveldas/archeologinis_paveldas/piliakalniai/kurmaiciu_piliakalnis/,,0,,,,,2
323169.1561,6203863.281,21,Rūdaičių piliakalnis,[],7/8/2013,7/19/2013,Rūdaičių k. Kretingos r.,Piliakalnis Pilalė įrengtas atskiroje kalvoje Žibos kairiajame krante. Aikštelė apvali 30 m skersmens. Jos P­-V kraštuose supiltas 05 m aukščio 10 m pločio puslankio formos pylimas. Šlaitai statūs 4-­10 m aukščio.,http://lt.wikipedia.org/wiki/R%C5%ABdai%C4%8Di%C5%B3_piliakalnis,,10,,,,,1
522802.1165,6177088.863,22,Panevėžio apskrities turizmo informacijos centra,[],5/21/2013,,Laisvės a.11 LT-35200 Panevėžys,Tel. 8 45 508080 8 616 39793,http://www.panevezysinfo.lt/,,6,,,,,3
522612.7406,6177103.746,23,Panevėžio miesto dailės galerija,[],5/21/2013,11/19/2013,Respublikos g.3 Panevėžys,Čia eksponuojami Panevėžio Aukštaitijos Lietuvos ir užsienio menininkų kūriniai. Siekiama pristatyti ne tik galerijos parengtas kolekcijas bet ir inicijuoti naujus projektus bei dalyvauti bendruose Lietuvos ir užsienio šalių meniniuose proje,http://www.arspanevezys.lt/,,12,,,,,3
522810.517,6177148.063,24,Parodų salė Galerija XX,[],5/21/2013,11/19/2013,Laisvės a. 7,Galerija XX pristato šiuolaikinių lietuvių ir užsienio autorių kūrybą rengia bendras parodas su kitomis miesto galerijomis organizuoja plenerus užsiima edukacine veikla.,http://www.galerijaxx.lt,,12,,,,,2
522642.5063,6177150.709,25,Galerija 2-asis aukštas,[],5/21/2013,,Respublikos g. 14,"Netradicinė salės forma jauki erdvė puiki akustika ir geras apšvietimas traukia profesionalius menininkus ir meno gerbėjus. Kasmet galerijoje organizuojama apie 15 dailės parodų.


Parodų lankymas nemokamas",http://www.pavb.lt/lt/struktura-ir-kontaktai/skyriai/galerija-q2-asis-aukstasq,,12,,,,,3
319871.8944,6178579.767,26,Klaipėdos turizmo ir kultūros informacijos centr,[],6/10/2013,,Turgaus g.7 Klaipėda,Klaipėdos turizmo ir kultūros informacijos centras,http://www.klaipedainfo.lt,,6,,,,,1
350407.1679,6218744.081,27,Laivių piliakalnis,[],7/9/2013,8/9/2013,Laivių k. Salanto ir Bubino upelių santaka,Senovėje pro piliakalnį tekanatis Salantas buvęs didelė ir vandeninga upė kuria plaukiojo karo ir prekybos laivai.Kiti padavimai pasakoja apie piliakalnyje nugrimzdusį dvarą ir užkastus lobius.Dabar Piliakalnis apaugęs lapuočių medžių mišk,http://lt.wikipedia.org/wiki/Laivi%C5%B3_piliakalnis,,10,,,,,3
338528.6754,6218493.388,28,Grūšlaukės koplyčia kapinės,[],7/9/2013,8/9/2013,Grūšlaukės k. Darbėnų sen. Kretingos r.,Tai  XVIII a. koplyčia kurios interjerą puošia 1749 m. sieninė tapyba.Grūšlaukės kapinėse ilsisi žymus žemaičių dievdirbys Juozapas Paulauskas 1860–1945 lietuvių ir prancūzų skulptorius Antanas Mončys 1921–1993.,http://www.kretingosenciklopedija.lt/lt/straipsniai/geografija/rajono_administracinisteritorinis_suskirstymas_ir_valdymas/seniunijos/darbenu_seniunijos_kaimai/darbenu_seniunija/,,1,,,,,4
328964.5802,6224776.189,29,Senosios Įpilties II piliakalnis,[],7/8/2013,7/19/2013,Senosios Įpilties k. Kretingos r.,Antrasis piliakalnis Marijos Kalnelis įrengtas Juodupio ir bevardžio upelio santakoje esančiame kranto kyšulyje. Piliakalnį labai suardė arimai. Dirvonuoja pietryčių  šlaitas apaugęs alksniais.,http://www.piliakalniai.lt/piliakalnis.php?piliakalnis_id=244,,10,,,,,3
328793.9236,6224458.688,30,Senosios Įpilties I piliakalnis,[],7/8/2013,7/19/2013,Senosios Įpilties k. Juodupio upelio deš.krantas,Piliakalnis siejamas su istorinių šaltinių minima Impilties  pilimi kurią 1261 m. puolė Livonijos kariuomenė o prieš pasitraukdami sudegino gynėjai.Tarpukariu piliakalnį dvejus metus tyrinėjo karo muziejaus archeologinė ekspedicija.,http://www.kretingosenciklopedija.lt/lt/straipsniai/kultura/kulturos_paveldas/archeologinis_paveldas/piliakalniai/senosios_ipilties_impilties_piliakalniai/,,10,,,,,3
328257.4798,6225917.207,31,Senosios Įpilties III piliakalnis,[],7/8/2013,7/19/2013,Senosios Įpilties k. Kretingos r.,Priešais papėdės gyvenvietę į šiaurės vakarus nuo piliakalnio Šventosios šlaite išliko kapinynas ir kaimo kapinės vadinami Karių kapeliais Maro kapeliais.,,,10,,,,,1
498361.3587,6128141.449,32,Kristaus Atsimainymo stačiatikių cerkvė,[],7/10/2013,,Gedimino g. 2 Kėdainiai,Stačiatikių bendruomenė susikūrė Kėdainiuose XVII a. II p. Dabartinė cerkvė iškilo XIX a. II p. Cerkvėje ir šventoriuje - paminklai Piotrui Stolypinui išlikę sakralinio meno vertybių.,,,1,,,,,3
498361.3587,6128142.11,33,Kristaus Atsimainymo stačiatikių cerkvė,[],7/10/2013,7/1/2014,Gedimino g. 2 Kėdainiai,Stačiatikių bendruomenė Kėdainiuose įsikūrė XVII a. vid. Ši cerkvė pastatyta XIX a. II p. Išlikę sakralinio meno vertybių. Cerkvėje ir šventoriuje - memorialiniai paminklai Piotrui Stolypinui.,,Christ Conversion Orthodox Church,1,Gedimino g. 2 Kėdainiai,The Orthodox community was established in Kėdainiai in the 17th century. The present Orthodox church was built in the IInd half of the 19th century. It is abundantly decorated with paintings. Memorial plaques for Piotr Stolypin were set up there as well,,,2
338896.0748,6136888.441,34,Šilutės turizmo informacijos centras,[],6/23/2014,,Lietuvininkų g. 4 LT-99179 Šilutė,"Šilutės turizmo informacijos centras
Lietuvininkų g. 4 LT-99179 Šilutė
Tel.: 8-441 77785
El. paštas: info@siluteinfo.lt",http://www.siluteinfo.lt,,6,,,,,2
345157.3804,6209062.108,35,Vyskupo Motiejaus Valančiaus gimtinės muziejus,[],7/4/2013,7/19/2013,Nasrėnų k. Kūlupėnų sen. Kretingos r.,Žemaičių vyskupo Motiejaus Valančiaus memorialinė ekspozicija pasakoja apie vyskupo gyvenimą veiklą lietuvių tautos gerovei nuveiktus darbus. Muziejuje eksponuojamos jo knygelės  asmeniniai daiktai vyskupo skrynia.,http://nasrenai.lt/,,8,,,,,3
346657.5709,6211785.999,36,Kalnalio Šv. Lauryno bažnyčia,[],7/4/2013,8/12/2013,Kalnalio k. Kretingos r.,Kunigaikščio Oginskio rūpesčiu 1777 m. pastatyta bažnyčia. Joje buvo  pakrikštytas  vyskupas Motiejus Valančius. Bažnyčia 1882 m. vasarą sudegė uždegė žaibas. Kunigo Simono Jucevičiaus ir parapijiečių rūpesčiu 1883 m. atstatyta.,http://www.kretingosenciklopedija.lt/lt/straipsniai/religija/baznycios/kalnalio_sv_lauryno_baznycia/,,1,,,,,1
346668.8157,6211914.322,37,Apžvalgos bokštas,[],7/4/2013,8/12/2013,Kalnalio k. Kretingos r.,Kalnalio apžvalgos bokštas yra 15 m aukščio pastatytas 2006 m. Salantų regioninio parko direkcijos iniciatyva. Nuo jo atsiveria nuostabi Salanto upės slėnio panorama su tolumoje besistiebiančiais Salantų bažnyčios bokštais.,,,11,,,,,4
347801.0169,6212895.455,38,Imbarės piliakalnis,[],7/9/2013,8/12/2013,Imbarės sen. Kretingos r.,Anot padavimų piliakalnyje paslėpti dideli turtai.  Požemių durų raktas guli Salanto upės sietuvoje. Dvyliktą valandą nakties reikia nerti į tą sietuvą ir rasti akmenį o po juo – raktą. Kam pavyks tas taps visų užburtų turtų savinin,http://www.salanturp.lt/indexlt14575.html,,10,,,,,3
498323.1537,6128083.519,39,Vytauto Ulevičiaus medžio skulptūrų muziejus,[],7/4/2013,6/5/2014,J. Basanavičiaus g. 36 2 aukštas LT-57177 Kėdainiai,Muziejus įkurtas 2004 m. jame eksponuojama apie 50 talentingo menininko gyvenančio Kėdainių rajone darbų. Juose atsispindi tradicinė lietuvių liaudies ornamentika vaizduojami Lietuvos istorijos įvykiai ir asmenybės religijos mitologijos pe,http://www.kedainiumuziejus.lt,Museum of Wooden Sculptures by Vytautas Ulevičius,8,J. Basanavičiaus g. 36 first floor municipality building,On the museum display - over 50 oak sculptures by Vytautas Ulevičius a talented wood carver residing in Krakės Kėdainiai District. The sculptures reflect ancient Lithuanian folk art ornaments they represent Lithuanian history mythology religion.,http://www.kedainiumuziejus.lt,,5
347482.5434,6216080.856,40,Gaidžio koplyčia,[],7/4/2013,8/12/2013,Salantai Kretingos r.,Kalva tokį vardą gavusi esą todėl kad seniau praeivius vakarais baidydavęs iš jos sklindantis šaižus gaidžio giedojimas. Jis nurimęs tik pastačius ant kalvos koplyčią.,http://www.salanturp.lt/indexlt16044.html,,0,,,,,2
338650.384,6218305.534,41,Šv. Jono Nemopuko bažnyčia,[],7/9/2013,7/19/2013,Grūšlaukės k. Darbėnų sen. Kretingos r.,Bažnyčioje – trys altoriai du šoniniai perkelti iš ankstesnės bažnyčios. Rūsyje įrengta kripta parapijos kunigams laidoti. Bažnyčios šventoriuje pastatytas kryžius-paminklas žuvusiems Žemaičių apygardos Kardo rinktinės partizanams  a,http://www.kretingosenciklopedija.lt/lt/straipsniai/religija/baznycios/gruslaukes_sv_jono_nepomuko_baznycia/,,1,,,,,2
498813.9568,6128038.54,42,Daugiakultūris centras mažoji žiemos sinagoga,[],7/4/2013,6/4/2014,Senosios Rinkos 12 LT-57247 Kėdainiai,Daugiakultūris centras įsikūręs mažojoje žiemos sinagogoje statytoje XIX a. Sinagoga išsaugojusi autentišką vidaus išplanavimą. II a. buv. moterų galerijoje  įrengta ekspozicija apie žydų istoriją ir holokaustą. Vyksta kultūros isto,http://kedainiumuziejus.lt,Multicultural Centre small winter synagogue,8,Senosios Rinkos a. 12 Kėdainiai,The Centre was established in the former small winter synagogue constructed in the 19th c. It has preserved in original interior layout. Nowadays the Centre organizes art exhibitions cultural events provides guided tours and educational programmes.,http://www.kedainiumuziejus.lt,,3
502580.3081,6147927.639,43,Bakainių piliakalnis,[],7/4/2013,6/11/2014,Kėdainių r. Surviliškio sen. Krekenavos regioninio parko teritorijoje,Datuojamas II tūkst. pr. Iš trijų pusių piliakalnį supa Liaudės upė. Tai vienas didžiausių Kėdainių rajono piliakalnių. Šalia - laužavietė atokvėpio vieta su stalu ir suolais.,,Bakainiai Hill Fort,10,Bakainiai Kėdainiai District,One of the largest hill forts in the district beginning of the second millennium. Near the hill - picnicking area.,,,4
502318.3701,6145892.989,44,Surviliškio Nukryžiuotojo Jėzaus bažnyčia,[],7/4/2013,7/1/2014,Surviliškis Kėdainių r.,Šalia Kėdainių-Krekenavos kelio. Pastatyta 1791 m. turi išsaugojusi sakralinės dailės paminklų. Atidaryta pamaldų metu.,,Surviliškis Church of Jesus Crucified,1,Surviliškis Kėdainiai District,Constructed in 1791 with preserved religious art items inside. Open during Holy Mass.,,,1
518111.2211,6141892.203,45,Šukionių piliakalnis,[],7/16/2013,6/20/2014,Šukionių k. Šėtos sen. Kėdainių r.,Datuojamas XIV a. II p. Piliakalnyje buvo 1372 m. rugpjūtį Livonijos ordino kariuomenės nusiaubto Šukionių k. slėptuvė. Aptikta iš 13 cm storio rąstų sudėtos suanglėjusios gynybinės sienos liekanų geležinių dirbinių žalvarinių papuo,http://kedainiutvic.lt,Šukioniai Hill Fort,10,Šukioniai village Kėdainiai District,IInd half of the XIVth century.,,,3
516421.8531,6129632.71,46,Sangailų piliakalnis,[],7/16/2013,6/20/2014,Sangailų k. Šėtos sen. Kėdainių r.,Įrengtas atskiroje kalvoje aikštelė apjuosta pylimu. Datuojamas I tūkst. - II tūkst. pr.,http://kedainiutvic.lt/cms,Sangailai Hill Fort,10,Sangailai village Kėdainiai District,End of Ist - beginning of IInd millennium.,,,4
339518.5867,6201332.14,47,Žadeikių dvaras palivarkas,[],7/17/2013,8/12/2013,Žadeikių k. Kartenos sen. Kretingos r.,Žadeikių dvarą įkūrė grafas Mikalojus Zubovas.Nuo 1875 m. jį valdė Juozapas Tiškevičius o po jo – sūnus Aleksandras Tiškevičius kuris  pastatė gyvenamuosius ir ūkinius pastatus.1939 m.dvaro sodybą nupirko Kretingos apskrities agronoma,http://www.kretingosenciklopedija.lt/lt/straipsniai/geografija/rajono_administracinisteritorinis_suskirstymas_ir_valdymas/seniunijos/kartenos_seniunijos_kaimai/zadeikiai/,,1,,,,,5
345708.82,6204728.413,48,Sauserių piliakalnis,[],7/9/2013,8/12/2013,Kelias Kūlupėnai-Sauseriai,Nuo priešpilio pylimo aptiktas  apsauginis griovys. Jame rasta lipdytos keramikos šukių anglių molio tinko titnago nuoskala.Piliakalnis įrengtas I tūkst. apleistas II tūkst. pradžioje greičiausiai prasidėjus kovoms su kryžiuočiais.,http://lt.wikipedia.org/wiki/Sauseri%C5%B3_piliakalnis,,10,,,,,2
329812.1954,6205951.509,49,Tūbausių Šv. apaštalo Andriejaus bažnyčia,[],7/30/2013,8/9/2013,Tūbausių k. Kretingos r.,Kretingos kunigo pranciškono Leopoldas Scheifele pastangomis bažnyčia buvo iš pagrindų atnaujinta suburta gyva tikinčiųjų bendruomenė. Klebonas atgaivino senas tradicijas - etnosą mišių metu grojama kanklėmis.,http://tubausiu-parapija.lt/istorija.html,,1,,,,,4
498715.2396,6128048.514,50,Žydų sodybinio tipo namas,[],8/8/2013,6/9/2014,Žydų g. 2 Kėdainiai,"XVII a. - XIX a. pab. Atspindi žydų statybos tradiciją ir etnografiją. Namą sudaro gyvenama dalis religinėms apeigoms palapinių šventei sukot"" skirtas prieangis ir kalvė bei tvartas.",,Complex of Jewish houses,1,Žydų g. 2 Kėdainiai,17th-19th c. complex consisting of a residential house an attached ritual premise for the Succoth festival a smithy and a cattle shed.,,,1
325676.0882,6205408.451,51,Nagarbos piliakalnis,[],7/8/2013,8/9/2013,Senkų k. Tenžės dešiniajame krante,Dėl savo formos kitaip dar vadinamas Bliūdkalniu.Piliakalnio aikštelė apvali 50 m skersmens apjuosta 240 m ilgio pylimu. Senovėje ant pylimo stovėjo mediniai įtvirtinimai – gynybinės sienos ir bokštai.,http://www.kretingosenciklopedija.lt/lt/straipsniai/kultura/kulturos_paveldas/archeologinis_paveldas/piliakalniai/nagarbos_negarbos_piliakalnis/,,0,,,,,1
503199.3309,6029217.906,52,Ado galerija,[],8/9/2013,7/14/2014,Vilniaus g. 14 Alytus,"Studija - galerija „Ado galera“ ir dailės salonas meno dirbinių parduotuvė. 
Prieš apsilankant galerijoje rekomenduojama pasiskambinti.",http://www.adogalera.com/,'Adas' Gallery,12,Vilniaus street 14 Alytus,"Adas' Gallery - art showroom artwork store
Before you visit the gallery advisable to call.",http://www.alytus-tourism.lt/en/places-to-visit/museums-and-galeries,,3
493226.4474,6117413.235,53,Dievo Apvaizdos bažnyčia,[],8/12/2013,7/4/2014,Labūnava Pelėdnagių sen. Kėdainių r.,1859 m. kaip mauzoliejinę koplyčią artimiesiems laidoti ją pastatė grafienė Matilda Kobylinska-Zabielienė. Senoji bažnyčia sudegė todėl koplyčia tapo bažnyčia. Tai apskrito plano statinys - rotonda. Raiškaus silueto interjeras kuklus.,,Church of Providence,1,Labūnava Kėdainiai District,It was built as a family burial chapel by countess Matilda Kobylinska-Zabielienė in 1859. When the church burnt down the chapel was transformed into a church. It is of circular plan and modest interior.,,,1
343829.5104,6202576.295,54,Martynaičių piliakalnis,[],8/12/2013,,Martynaičių k. Kartenos sen. Kretingos r.,Galingi piliakalnio įtvirtinimai gyvenvietės užimama teritorija ir radiniai liudija kad I tūkstm. pab. – II tūkstm. pirmaisiais amžiais čia būta svarbios kuršių gyvenvietės ir pilies greičiausiai sudegintos kovų su kryžiuočiais metu.,http://www.kretingosenciklopedija.lt/lt/straipsniai/kultura/kulturos_paveldas/archeologinis_paveldas/piliakalniai/martynaiciu_piliakalnis/,,10,,,,,4
492913.577,6116005.648,55,Buv. Labūnavos dvaro sodybos bokštas,[],8/12/2013,7/15/2014,Labūnavos k. Pelėdnagių sen. Kėdainių r.,XVI a. dvaras atiteko Zabieloms kurie čia 1890 m. pastatė puošnius neorenesanso stiliaus rūmus. 1914 m. rūmai sunaikinti. Juo supo mūrinė tvora su trimis gotikinio stiliaus bokštais. Iš visų dvaro sodybos pastatų teliko vienas iš šių bokš,,Labūnava manor tower,1,Labūnava village Kėdainiai District,From the 16th c. it belonged to the Zabiela family which constructed a manor in the renaissance style in 1890.  The manor was destroyed in 1914. It had been surrounded by a brick fence with three Gothic towers of which only one has survived.,,,4
508331.5401,6119737.604,56,Juciūnų kapinių medinė koplyčia,[],8/12/2013,,Juciūnų k. Pelėdnagių sen. Kėdainių r.,Pastatė dvarininkas Adomas Velička 1817 m. Kolonų portikas laiko priekin išsikišusią choro sieną ir frontoną. Chore yra išlikusi fisharmonija. Interjeras kuklus,,,1,,,,,5
343309.6031,6202376.534,57,Gintarų piliakalnis Vyšnių kalnas,[],8/12/2013,,Gintarų k. Kartenos sen. Kretingos r.,Padavimas mena kad dvaro ponas labai mėgo vyšnias ir prie rūmų pasodino didžiulį vyšnių sodą. Švedams dvarą sudeginus sodas išliko ir kiekvieną pavasarį baltais žiedais pasipuošusios vyšnios dar ilgai primindavo karteniškiams čia sto,http://lt.wikipedia.org/wiki/Gintar%C5%B3_piliakalnis,,10,,,,,3
